created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Thu Aug 22 19:52:16 +0000 2013	370634546246475776	I recently toured @ConvaTecWound in Skillman where I pledged to continue my push to repeal the medical device tax. http://t.co/wNb5bMLmGV	"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>"				http://pbs.twimg.com/media/BSTCJ-iCEAE0N0E.jpg			ConvaTecWound
Thu Aug 22 13:27:57 +0000 2013	370537830696505346	Rep. Lance Discusses Affordable Care Act; Immigration Reform with @SchneiderNJTV http://t.co/nAqnhq9qYI	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							SchneiderNJTV
Wed Aug 21 20:28:15 +0000 2013	370281211676999681	New Providence Students Conclude Lance Summer Internship http://t.co/1ltnYgaZTp	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Aug 21 20:12:07 +0000 2013	370277153134227456	UPS to drop 15,000 spouses from insurance, cites Obamacare http://t.co/8O90gLeifD	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Aug 21 20:03:42 +0000 2013	370275035287523328	Immigration reform: Citizenship possible for kids brought to U.S., Lance says http://t.co/3r9hngcgzG	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Aug 21 00:42:11 +0000 2013	369982729070206976	I first want to strengthen the border to reduce the flow of illegal immigration before turning to other provisions. http://t.co/0zyUoncV55	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Aug 21 00:34:39 +0000 2013	369980833022492672	"Congressman Leonard Lance visits Rotary Club of Summit and New Providence.

 http://t.co/IjmKQZ8QoU"	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Tue Aug 20 23:31:26 +0000 2013	369964924367556608	Packed house @LHTownship for my 28th public townhall meeting. Lively, passionate crowd with great questions. http://t.co/SBtpA303gJ	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"				http://pbs.twimg.com/media/BSJhI2lIQAAre6Q.jpg			LHTownship
Tue Aug 20 18:32:49 +0000 2013	369889774493896704	Cranford pizza shop owner pushes for pathway to citizenship for immigrants | NJBIZ http://t.co/ynbldssE3H	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Tue Aug 20 14:47:08 +0000 2013	369832981776449536	Obamacare to end health plan used by 100,000 New Jerseyans | http://t.co/7vaZB1ppu6 http://t.co/ZN0OU1AZwp	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Mon Aug 19 21:59:32 +0000 2013	369579412087652352	@ReidOines I agree 100% &amp; voted for the REINS Act to protect individuals &amp; @NFIB from burdensome executive orders that harm our economy.	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"							NFIB
Fri Aug 16 16:39:54 +0000 2013	368411809952186368	Immigration reform: Lance sees dead body, says border fence not nearly enough | http://t.co/7vaZB1ppu6 http://t.co/4szvBOrmfJ	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Fri Aug 16 16:36:58 +0000 2013	368411068596363265	Just finished tour and talk @stonekingpt in Lambertville where we discussed Medicare, PT &amp; wellness issues. http://t.co/Ey9KNPMgDp	"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"				http://pbs.twimg.com/media/BRzb6juCIAA6U-k.jpg			StonekingPT
Fri Aug 16 14:48:38 +0000 2013	368383805322575873	@JanetteKoneski but our young people would have better opportunities for employment if more companies were creating jobs like @SiemensHealth	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							JanetteKoneski
Fri Aug 16 14:48:09 +0000 2013	368383685097037824	@JanetteKoneski I'm not suggesting that these jobs will solve our Nation's employment problems...	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							JanetteKoneski
Fri Aug 16 14:11:25 +0000 2013	368374441530494976	I learned @SiemensHealth manufacturing facility in Flanders is expanding &amp; expected to add 500 jobs over next 10 yrs. http://t.co/S8z5JtPmT4	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BRy6mlRCEAILqO2.jpg			SiemensHealth
Fri Aug 16 14:03:22 +0000 2013	368372414565990402	I toured @SiemensHealth in Flanders yesterday, a world leader in developing and building high-tech medical equipment. http://t.co/u9aR30IPH3	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BRy4wmOCQAAQ3yC.jpg			SiemensHealth
Wed Aug 14 18:58:57 +0000 2013	367722021179781120	I sat down w/ @LeaderTimes editorial board today where we discussed the economy &amp; other important issues of the day. http://t.co/SfR8J808FB	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"				http://pbs.twimg.com/media/BRppOuFCcAApH-1.jpg			LeaderTimes
Wed Aug 14 12:39:36 +0000 2013	367626556673245184	Great coffee and conversation with constituents this morning at the Oldwick General Store. http://t.co/wayhGMBo7G	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BRoSZ9DCQAE7waq.jpg			
Wed Aug 14 10:13:41 +0000 2013	367589836959387649	Dead body and drones greet visiting officials to Mexican border - New Jersey Hills Newspaper: Randolph Reporter News http://t.co/ufkqu6BBSf	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Aug 14 10:13:05 +0000 2013	367589686023188481	Coffee with the Congressman set for Aug. 14 in Oldwick | http://t.co/7vaZB1ppu6 http://t.co/psc0q2Kg6c	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Tue Aug 13 20:39:51 +0000 2013	367385029301002240	Another day, another delay for ObamaCare.  To read the latest from my committee @HouseCommerce, click here: http://t.co/paE8iNCfe9	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"							HouseCommerce
Tue Aug 13 20:31:37 +0000 2013	367382959944253440	Lance to hold Town Hall meeting in Long Hill Township Tuesday http://t.co/h2ItYraUEw via @njhills	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							NJHills
Mon Aug 12 19:23:21 +0000 2013	367003391861325824	Congratulations to Berkeley Heights (#6) &amp; Hillsborough (#16) for being named @MONEY 2013 Top 50 Best Places To Live. http://t.co/npUkE0Gqxb	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							MONEY
Mon Aug 12 10:54:44 +0000 2013	366875393006911488	Congressmen tour ‘ground zero’ of illegal immigration - The Hill's Blog Briefing Room http://t.co/41JMaI8S5v	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Mon Aug 12 10:54:18 +0000 2013	366875284470898688	U.S. Rep. Leonard Lance visits U.S.-Mexico border, addresses concerns | http://t.co/Rhh4P0VuJh http://t.co/aSUZ1f0E0q	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Thu Aug 08 18:45:21 +0000 2013	365544276328841217	I spent more than an hour this morning with @LindeGases_NA employees discussing issues important to their industry. http://t.co/ALw0hmx0YF	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BRKslSSCAAQsWzc.jpg			LindeGases_NA
Thu Aug 08 18:39:19 +0000 2013	365542758284410880	Gave interviews with @WRNJNEWSJOYCE @lehighvalley &amp; @ObserverTribune on my tour of the southwest border region. http://t.co/NgRWO3sHrE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BRKrM7ICQAAHAzK.jpg			WRNJNEWSJOYCE
Wed Aug 07 16:57:59 +0000 2013	365154869927088129	Congressman Lance returns from border mission | http://t.co/7vaZB1ppu6 http://t.co/RqB64yZd71	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Tue Aug 06 22:36:07 +0000 2013	364877575559983104	@tmorbs I added my name as a cosponsor of HR 24 on Jan. 14, 2013. And I voted for its passage last Congress. -L.L.	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"							
Fri Aug 02 20:46:33 +0000 2013	363400448364904450	@tmorbs 3. That debate should be lengthy not just the 15 minutes given to the Amash amendment during Defense spending bill debate.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Aug 02 20:44:47 +0000 2013	363400005513519105	@tmorbs 2. and protects both our national security &amp; our civil liberties. This debate will occur in the autumn during Intel reauthorization.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Aug 02 20:43:59 +0000 2013	363399801603239938	@tmorbs 1. These programs must be carried out in a manner that is consistent w/congressional intent....	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Aug 02 20:39:35 +0000 2013	363398696831946752	Returned constituent calls today then heading to southwest border tomorrow for 3-day immigration fact-finding trip. http://t.co/DlQSczSPBD	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BQsNMH0CEAANbuI.jpg			
Thu Aug 01 20:36:31 +0000 2013	363035536631398402	Congressional delegation seeks answers on smart grids | NJBIZ http://t.co/ML10ZhNxXi	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Thu Aug 01 20:31:57 +0000 2013	363034386234482688	Support @RepDonaldPayne bill to study Smart Grid technology &amp; protect our grid from natural disasters &amp; cyber attacks http://t.co/nBMDmwx6rU	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							RepDonaldPayne
Wed Jul 31 23:00:43 +0000 2013	362709436881567744	This bill gives student borrowers &amp; their families the financial certainty to plan for the costs of higher education. http://t.co/FhaQsaYYy3	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Jul 31 22:51:53 +0000 2013	362707212155625472	Visited with new @Princeton President Christopher Eisgruber. He cares passionately about its students &amp; faculty. http://t.co/Zt9PDGyCuh	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BQiYSaqCIAArxi5.jpg			Princeton
Wed Jul 31 21:39:15 +0000 2013	362688936226734080	@HouseCommerce passes doc fix 51-0 showing once again how Dems &amp; GOP can work together for the greater good http://t.co/7hRCDD9Wki	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							HouseCommerce
Tue Jul 30 22:53:48 +0000 2013	362345309227069441	RT @dmintz13: 2 of America's 50 smartest towns are in @RepLanceNJ7's district? That's not a coincidence. Smart people=Smart voters http://t…	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"					3.62292795711e+17		dmintz13
Tue Jul 30 22:52:25 +0000 2013	362344959082369025	I just finished hosting a telephone town hall meeting from my office in Washington.  Great Q&amp;A w/callers. http://t.co/BwXDOy6vzq	"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"				http://pbs.twimg.com/media/BQdO0gyCEAA6QdP.jpg			
Thu Jul 25 20:28:26 +0000 2013	360496788282683392	Sequestration should not slow American access to new medications - The Hill's Congress Blog http://t.co/Bi2DVYeHc6	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Thu Jul 25 14:17:58 +0000 2013	360403558228701184	@ctmommy having spent hours @ classifed briefings &amp; reviewing documents about the program I felt I was best informed on how to cast my vote.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							ctmommy
Thu Jul 25 13:50:45 +0000 2013	360396705864232960	@sjlombardo Congress is right 2b concerned about NSA program but we should strengthen protections &amp; improve it not eliminate it altogether.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							sjlombardo
Thu Jul 25 13:50:23 +0000 2013	360396615753793536	@billymeltdown Congress is right 2b concerned about NSA program but we should strengthen protections/improve it not eliminate it altogether.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							billymeltdown
Thu Jul 25 13:49:42 +0000 2013	360396443846049792	@brendantroy424 Congress is right 2b concerned about NSA program but we should strengthen protections/improve it not eliminate it altogether	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Jul 25 13:49:12 +0000 2013	360396318725783552	@tmorbs Congress is right to be concerned about NSA program but we should strengthen protections &amp; improve it not eliminate it altogether.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Jul 25 13:48:57 +0000 2013	360396253382717440	@SDeysher Congress is right to be concerned about NSA program but we should strengthen protections &amp; improve it not eliminate it altogether.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Jul 25 13:48:26 +0000 2013	360396123992629249	@Nunya_Biznas Congress is right 2b concerned about NSA program but we should strengthen protections &amp; improve it not eliminate it altogether	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							Nunya_Biznas
Thu Jul 25 13:47:20 +0000 2013	360395848254898177	@NeededPrivacy Congress is right 2b concerned about NSA program but we should strengthen protections &amp; improve not eliminate it altogether	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							NeededPrivacy
