screen_name,followers,friends,tweets,place,user_location
L0vegilbert,305.0,186.0,12539.0,,"Modesto, CA"
SteveDtrix,305.0,254.0,986.0,,"Modesto, CA"
BLACKOUTClTY,304.0,272.0,62420.0,,
jjaanneessa,304.0,397.0,715.0,,
shrimp_mula,304.0,369.0,807.0,"Modesto, CA","Modesto, CA"
ccmodesto,304.0,10.0,583.0,,"Modesto, Ca"
blk_ink,304.0,541.0,8429.0,,"Inland Empire, CA"
ryanyz721,304.0,241.0,2885.0,,turlock ca 
KamiGiorgis,304.0,323.0,772.0,,
IsraelSavala,304.0,270.0,5066.0,,"Turlock, CA"
CSUstan_LYMcrew,304.0,744.0,293.0,,"Turlock, CA"
_jaelinee,304.0,248.0,4283.0,,"Jalostotitlán, Jalisco"
xXChris40,303.0,506.0,1890.0,"Modesto, CA",
ItsLalo17,303.0,128.0,2840.0,,"Modesto, CA"
lilconradd,303.0,278.0,7312.0,,"Modesto, CA"
Jeremy_Frowein,302.0,336.0,5226.0,"Modesto, CA",
thattgirlizzzy,302.0,552.0,1732.0,,"Modesto, CA"
hyperfocusdom,302.0,153.0,14384.0,,endless dimension of handclap
ShabbottMary,302.0,160.0,59040.0,,
ArmadaCEO,302.0,1595.0,362.0,,Inland Empire California
DJvW9,302.0,327.0,284.0,,
kneeebruise,302.0,195.0,10286.0,,"Okaga, CA"
rloulu,302.0,243.0,1987.0,"Modesto, CA","Modesto, California"
KassandraNai,301.0,297.0,11327.0,,Modesto
AnthonyGee55,301.0,276.0,6859.0,"Modesto, CA",California bro
paulinadiaz0431,301.0,400.0,6669.0,"Ceres, CA","Ceres, CA"
DayRamallo,301.0,331.0,9584.0,,"Córdoba, Argentina"
FUNinoCA,301.0,340.0,2487.0,,"California, USA"
simon_penn_r,300.0,76.0,1913.0,,
LawdJay,300.0,300.0,1596.0,,
IECommunityNews,300.0,165.0,3407.0,,"Inland Empire, CA"
BartoloSandova,300.0,207.0,1061.0,,
killerlovelace,300.0,270.0,12570.0,,california 
DustinGreysky,299.0,286.0,21631.0,,"Oceano, CA"
MateaGallardo,299.0,367.0,6549.0,,
playboyshades,299.0,279.0,4762.0,,"Los Angeles, CA"
gonzales_shawn8,299.0,285.0,8555.0,,Turlock
PrincipalManley,299.0,265.0,1402.0,,"Turlock, CA"
airportdistrict,298.0,206.0,8662.0,,"Modesto, CA"
FedeeChaparro,298.0,180.0,1451.0,,
maddssgreen,298.0,145.0,9900.0,"Modesto, CA",
TheeGigger,298.0,367.0,2181.0,,"Ceres, CA"
MagdaliaEsparza,298.0,316.0,2441.0,"Modesto, CA","Juchipila, Zacatecas"
WillHilgen02,298.0,264.0,644.0,,"Turlock, CA"
bragdonhannah,298.0,1026.0,9378.0,,"Denair, CA"
DakotaHrtXXX,298.0,712.0,364.0,"Modesto, CA",California
DylanCollinsFOE,298.0,549.0,18914.0,"Modesto, CA",Bay Area
brahmnomnom,298.0,364.0,14219.0,,"San Jose, CA"
healsluts,298.0,218.0,56705.0,,
TCaligiuri,298.0,264.0,4447.0,"Modesto, CA","Modesto, CA"
znomkat,298.0,226.0,6860.0,,
ZakiyaZdub21,297.0,551.0,662.0,,"Modesto, CA"
soIdier76,297.0,84.0,13322.0,,
DevineImodal,297.0,477.0,824.0,,"West Sacramento, CA"
hootiepoo1,297.0,756.0,3839.0,,
aracelery,297.0,284.0,1927.0,"Ceres, CA",
_GigiBoo_,297.0,238.0,1563.0,,Nowhere
jessiccaamarie,297.0,167.0,2582.0,"Turlock, CA",SC: jessiccaamariee
mancha_kristel,297.0,2826.0,26.0,,Modesto
branmatt82,297.0,471.0,17984.0,,
djsamforever,297.0,252.0,8857.0,,empire
AnysiaLopez,297.0,380.0,2414.0,,W my friends 
alykayeee,297.0,206.0,4661.0,,"California, USA"
yaxelynn,296.0,221.0,5811.0,,"Ceres, CA"
BaileyF_,296.0,415.0,1700.0,"Modesto, CA",
Writ3Wing3r,296.0,270.0,14305.0,,"Modesto, CA"
layssserenity,296.0,302.0,1322.0,,"Redlands, CA"
deetut,296.0,1452.0,2449.0,,"Long Beach, CA"
_bstrauss,296.0,306.0,799.0,,"Upland, CA"
binameow,296.0,611.0,7855.0,,"Modesto,california"
I_Are_Chris,296.0,241.0,19745.0,"Modesto, CA",California!!
Krishan21_,295.0,236.0,4506.0,,"Ceres, CA"
itsdaijalittle,295.0,210.0,2292.0,,rva
mockingbird2533,295.0,307.0,2542.0,,"Turlock, CA"
beatrice_avila,295.0,554.0,1998.0,,"Turlock, CA"
ObiJuan74,295.0,107.0,20471.0,,AmeriKKKa
ShonTheDon909,295.0,2720.0,26270.0,,Inland Empire CA 
Rizzzzzzo_,295.0,196.0,4487.0,"Modesto, CA",Modesto
PixelJade,295.0,566.0,17466.0,"Modesto, CA",Modesto
OsoGrande65,295.0,464.0,1189.0,,"Brownwood, TX"
californessaa,295.0,394.0,21651.0,,
abbiejanelee,295.0,356.0,2208.0,,"Minas Tirith, Gondor"
DeeNolaccin,295.0,742.0,221.0,,"Modesto, CA"
evssbizz,294.0,229.0,10985.0,,"Modesto, CA"
yagurlzarian,294.0,443.0,4913.0,,
Ayyo_Surge,294.0,302.0,31316.0,,Inland Empire California
robcorralejo_,294.0,659.0,5048.0,,"Stockton, CA"
rachiethomas101,294.0,328.0,471.0,,
ryman395,294.0,504.0,4954.0,,
aaroninacio,294.0,297.0,3331.0,,"modesto,ca "
PRIMONUTMEG,294.0,2033.0,558.0,,
kell_kell12,293.0,305.0,6290.0,,
AleRod_xo,293.0,220.0,3933.0,,"Turlock, CA"
la_dasitaaa,293.0,183.0,5188.0,"Modesto, CA","Juchitlán, Jalisco"
princeOfDew,293.0,422.0,14680.0,,Argentina
Chamorrita_10,292.0,263.0,29187.0,,"Modesto, CA"
josevilla209,292.0,286.0,2217.0,"Modesto, CA",
matieeeee,292.0,272.0,15843.0,"Hughson, CA","San Fernando, CA"
marksurrrr,292.0,194.0,41579.0,,
jovittb,292.0,342.0,8070.0,,
JCTweet2,292.0,542.0,25542.0,,
TailgateStop,292.0,144.0,1715.0,,"Modesto, CA."
albaaelenaa,292.0,172.0,13772.0,"Ceres, CA",California.
Gwyniiee,291.0,378.0,2210.0,,"Modesto, CA"
madisontbhh,291.0,593.0,5962.0,,w/ my bff
Aridanya6,291.0,148.0,3345.0,,
AndrewMBorges,291.0,173.0,25710.0,,"Modesto, CA"
DylanCastro17,291.0,262.0,3578.0,,
edbarrosadv,291.0,1274.0,5619.0,,Ceres
ShawnTyrrell45,291.0,1195.0,27274.0,,"Colorado, USA"
_king_mikeee,291.0,140.0,13544.0,,Getting on Stephs nerves
ameezyalex,291.0,187.0,10577.0,,"Ceres, CA"
hollyquandt_,291.0,432.0,3435.0,,"Chico, CA"
Auto_FleetMech,290.0,726.0,960.0,,"Modesto,CA"
notxyle,290.0,227.0,32383.0,,florida
Prado24_,290.0,256.0,1923.0,,"Modesto, CA"
lenfirewood,290.0,325.0,8858.0,,UK
cwsparker,290.0,93.0,22791.0,,
ianangeloman22,290.0,336.0,6212.0,,
_Haakillaaa,290.0,273.0,8742.0,,
