created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Mon Apr 18 16:22:46 +0000 2011	60015421222432768	We must get US deficit under control. Read @CNBC: @standardpoors Affirms US AAA Rating, Cuts Outlook to Negative http://bit.ly/eZRAEq	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							CNBC
Sat Apr 16 18:04:20 +0000 2011	59316205550436352	"RT @SIERRASUNTIMES: Representative Denham Votes On Republican Budget
“Today, on my 100th day as a U.S. Representative, I voted in... htt ..."	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					59195266754027520		SIERRASUNTIMES
Fri Apr 15 23:06:27 +0000 2011	59029850278723584	Voted today on House #GOP budget. Read more: http://bit.ly/fyG4tM	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 15 17:44:35 +0000 2011	58948850584522754	Today marks #100days in office. The 112th congress has changed the culture of spending in Washington. And we're just getting started. #jobs	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 15 17:24:36 +0000 2011	58943821798572032	Frustrated w/ high #gasprices? Me too, I co-sponsored 3 energy bills that passed @NatResources cmte. Goal: Use U.S. resources & lower prices	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							NatResources
Fri Apr 15 15:43:46 +0000 2011	58918446481678336	RT @NatResources: Natural Resources GOP #FF @RepMcClintock @CongressmanGT @RepJeffDenham @CongressmanDan @RepRivera @RepTipton @repgosar	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					58915670775181312		NatResources
Fri Apr 15 02:17:01 +0000 2011	58715419514634241	Thank you to everyone who participated in our teletown hall tonight. Great questions and discussion!	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 14 20:47:55 +0000 2011	58632600146808832	#GOP changing the culture of Washington. I voted today to cut wasteful govt spending & help grow the economy to get people back to work!	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 14 17:10:55 +0000 2011	58577987376922624	RT @cathymcmorris: Please join me in following @HouseVetAffairs. The Committee is new to @Twitter! #vets	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							cathymcmorris
Thu Apr 14 16:05:52 +0000 2011	58561616689643520	Stop by our Mobile Office Hours in Chowchilla TODAY from 2 p.m. - 3 p.m. PST. INFO HERE: http://bit.ly/i9gTS7 #ca19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 14 13:05:43 +0000 2011	58516281158148096	Hosting a teletown hall TONIGHT @ 6:05 p.m. PST! Want to be one of the 1st called? SIGN UP & be added to the VIP list: http://bit.ly/dFm0DR	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 14 00:49:19 +0000 2011	58330960453840896	@insidegov glad U agree-we passed 3 energy bills through cmte today to increase US #oil & gas production to create #jobs & lower #gasprices	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							insidegov
Thu Apr 14 00:40:49 +0000 2011	58328823430774785	@unitedweremain Thanks for the mention!	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							unitedweremain
Wed Apr 13 22:49:33 +0000 2011	58300821196111873	RT @NatResources: Pictures from @RepJeffDenham at Monday's Water & Power Field Hearing on the man-made CA drought http://tiny.cc/ah4xz # ...	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					58240008485740544		NatResources
Wed Apr 13 21:33:16 +0000 2011	58281624445526016	RT @californianewsn: Denham votes for bill to resume oil drilling in Gulf of Mexico #energy #jobs. Read @MercedSunStar: http://dlvr.it/NPc4Z	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							californianewsn
Wed Apr 13 20:52:16 +0000 2011	58271304859660288	GOP budget will help create #jobs w/o raising taxes, stops the spending binge, & lifts the burden of debt that threatens our kids’ future	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Apr 13 20:31:50 +0000 2011	58266164865925120	RT @SIERRASUNTIMES: Representative Denham Votes To Increase American Oil and Gas Production In Order To Create Jobs And Curb Rising... h ...	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"					58243287974289408		SIERRASUNTIMES
Wed Apr 13 20:25:24 +0000 2011	58264545550016512	Bill I co-sponsored passed through @NatResources cmte today. It increases US production of oil & gas...#jobs Read more: http://bit.ly/gF9ZlV	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							NatResources
Wed Apr 13 18:14:20 +0000 2011	58231560817745920	RT @RepJoeWalsh: Obama says Ryan plan would lead to a fundamentally different America. | Agreed. US would look so different if not left  ...	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					58230546806996992		RepJoeWalsh
Wed Apr 13 17:43:27 +0000 2011	58223788118126592	@NatResources Markup Update #1: Committee Passes Bill to Put the Gulf Back to Work, Address Rising #GasPrices	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							NatResources
Wed Apr 13 15:29:22 +0000 2011	58190043055001600	Just heard that the price for REGULAR gas is at $4.35 in some parts of Fresno. Increased American production = lower prices! #ca19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Apr 13 14:36:22 +0000 2011	58176708762804225	At @NatResources mark up hearing today: Congress must act now to increase American energy production and curb RISING gas prices! #jobs #ca19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							NatResources
Wed Apr 13 14:12:51 +0000 2011	58170787777089536	What are you paying for gas? Avg. price per gallon is $4.1 in Fresno today. We must use US resources to create #jobs and curb #gas prices.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Apr 13 13:54:16 +0000 2011	58166111958597632	Thanks @laurenfritts was a great discussion. RT @laurenfritts: And a big thank you to all Freshman Congressme… (cont) http://deck.ly/~EiHWV	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							laurenfritts
Wed Apr 13 01:23:37 +0000 2011	57977206974066689	On commercial break on @foxnews w/ other GOP members and @FrankLuntz on @seanhannity. We need to get our fiscal house in order.	"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"							FoxNews
Tue Apr 12 14:03:06 +0000 2011	57805945484484608	Check out the PHOTOS I posted on my facebook page from the Water & Power Subcmte field hearing in Fresno yesterday - http://on.fb.me/fJQ6kH	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Mon Apr 11 18:29:45 +0000 2011	57510665979568128	RT @NatResources: PICTURE: Packed audience for the Subcommittee hearing on the Man-Made Drought in Fresno, CA http://twitpic.com/4jphps  ...	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					57510439084507137		NatResources
Mon Apr 11 17:37:05 +0000 2011	57497410317987841	Watch the Water & Power Subcommittee hearing live in Fresno HERE: http://bit.ly/h89a91	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
